Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34
"R (growth rate per h)",0.0941992643424357,0.0922848603040778,0.0209675358266404,0.162801907445269,0.092314809781322,0.058635900364344,0.0499933941525536,0.0714333220896217,0.128806474902502,0.101821444337544,0.105314648278237,0.132166034057479,0.114741806624575,0.218581525891794,0.20959717636556,0.206773590663992,0.241358902206961,0.255669081110875,0.40495437626264,0.382486837472344,0.419037397647163,0.384653908048509,0.378927309681928,0.776534009410792,0.806802275730272,0.785515662236896,0.750036281651255,0.798584477098149,1.25595481410284,1.29903789791487,1.26078902632442,1.26946184530334,1.27803282691809
"R algorithmic standard error estimate",0.00225551486597144,0.0211446717049441,0.0055984948310809,0.0341539020387075,0.00322679232415881,0.00910384352918832,0.00950430674738305,0.0187079651748828,0.0117134517935957,0.0112019710075188,0.0105497246573616,0.00338047678346767,0.0108557032863531,0.00277053907707158,0.0178624303357588,0.0046898642055149,0.00806610087582469,0.00523257551171627,0.00699581770666009,0.00703225122573408,0.00770252713799831,0.0084509603416277,0.00758184736131568,0.0133436833743944,0.014952821226988,0.0139897481047269,0.0138448004375798,0.0131115832042724,0.0211936432858821,0.0212442500113143,0.0210018633020284,0.0215167480117757,0.0204902713295006
"K (population size OD600nm)",0.00102224641215307,0.00108871112106476,0.000473759678952558,0.00250755645894825,0.00317487079865382,0.00350893711439195,0.00404870625621104,0.00335652085534938,0.00707414579085128,0.00690695966701326,0.00557968523552774,0.00589310558744408,0.00612508524861947,0.0118949933269993,0.0127984257721158,0.0112159815585857,0.0119319519212646,0.0136872213849974,0.0217949055215914,0.0221851136089088,0.0204459481137582,0.0210514777106877,0.0214279995061901,0.0435109734251599,0.0433462888126015,0.0415732284535601,0.0418923655676523,0.0402059806256179,0.0698669065752752,0.0705351812924701,0.0703428529656666,0.0692665793293837,0.067049434312128
"K algorithmic standard error estimate",1.59994090642165e-05,0.000164716186686531,9.03669712003481e-05,0.000152334100709839,6.37779879487201e-05,0.000121832886307363,0.000202387354669323,0.000167645688286138,0.000118557898690454,0.000160320102312869,0.000104715975889276,8.68565402321857e-05,0.000106480660629753,8.87261408695116e-05,0.000197976331604196,0.000149540402045354,0.000237034362385187,0.000164605364907104,0.000237297456169166,0.000251394785798285,0.000240784813871534,0.000285850910640895,0.000263049705803914,0.000481158311841842,0.000520761759833347,0.000484246775271995,0.000496522287220392,0.000430812965929861,0.000771790423981952,0.000761517099997009,0.000766159847144552,0.000779182205282336,0.000711496711316628
"Yield (OD600nm per ug/mL malto3)",0.000204449282430613,0.000217742224212951,9.47519357905115e-05,0.000250755645894825,0.000317487079865382,0.000350893711439195,0.000404870625621104,0.000335652085534938,0.000353707289542564,0.000345347983350663,0.000278984261776387,0.000294655279372204,0.000306254262430974,0.000297374833174982,0.000319960644302895,0.000280399538964642,0.000298298798031615,0.000342180534624935,0.000272436319019892,0.00027731392011136,0.000255574351421978,0.000263143471383596,0.000267849993827376,0.000271943583907249,0.000270914305078759,0.000259832677834751,0.000261827284797827,0.000251287378910112,0.000279467626301101,0.000282140725169881,0.000281371411862666,0.000277066317317535,0.000268197737248512
"Yield algorithmic standard error estimate",3.1998818128433e-06,3.29432373373061e-05,1.80733942400696e-05,1.52334100709839e-05,6.37779879487201e-06,1.21832886307363e-05,2.02387354669323e-05,1.67645688286138e-05,5.92789493452272e-06,8.01600511564347e-06,5.23579879446379e-06,4.34282701160929e-06,5.32403303148763e-06,2.21815352173779e-06,4.94940829010489e-06,3.73851005113384e-06,5.92585905962967e-06,4.1151341226776e-06,2.96621820211457e-06,3.14243482247856e-06,3.00981017339417e-06,3.57313638301119e-06,3.28812132254892e-06,3.00723944901151e-06,3.25476099895842e-06,3.02654234544997e-06,3.10326429512745e-06,2.69258103706163e-06,3.08716169592781e-06,3.04606839998804e-06,3.06463938857821e-06,3.11672882112935e-06,2.84598684526651e-06
"Lag estimate 1 (h)",2.87497711526588,3.20607210149487,5.82648637076444,4.53457312918815,3.55642023493587,2.8005505611576,2.46784705314599,3.28221639099889,4.45436080170892,3.89157753261804,4.03302877596539,4.42805914421216,4.32400794018528,5.6995841960986,5.48043190436314,5.65654621139784,5.58282531343201,5.59383211380255,7.67951365223658,7.32100693620291,7.75108797180993,7.14145484114922,7.06508255488156,8.56341860601744,8.60888741669884,8.84394628791494,8.47195111742946,8.5253779651718,9.12015866686326,9.30050475291188,9.09296094518275,9.51492594254105,9.22364673607538
"Lag estimate 2 (h)",2.70422535211268,NaN,0.338028169014085,3.71830985915493,3.04225352112676,0.338028169014085,3.71830985915493,4.05633802816901,4.73239436619718,4.73239436619718,3.71830985915493,4.73239436619718,4.73239436619718,5.74647887323944,5.07042253521127,5.74647887323944,4.73239436619718,5.40845070422535,6.42253521126761,6.76056338028169,7.43661971830986,6.42253521126761,6.42253521126761,8.11267605633803,8.11267605633803,8.11267605633803,7.77464788732394,8.11267605633803,8.45070422535211,8.45070422535211,8.45070422535211,8.7887323943662,8.7887323943662
"malto3 concentration used for this datapoint (ug/mL)",5,5,5,10,10,10,10,10,20,20,20,20,20,40,40,40,40,40,80,80,80,80,80,160,160,160,160,160,250,250,250,250,250
"Rsquareds for goodness of fit in [0,1]",0.984099592363095,0.397189774742517,0.339144903204185,0.802352047578396,0.974621522941586,0.962827837560289,0.945271129044095,0.906820494884551,0.987576930050148,0.9804028373399,0.984964846949311,0.985937375573925,0.986666062911323,0.996272706839279,0.988887294666838,0.988196006393704,0.974210205365641,0.990385268668626,0.9919312462888,0.991279760650672,0.990576342628851,0.987551538694224,0.989805007435501,0.991642693240834,0.990151830968615,0.990732412506544,0.990414214975913,0.992155516764328,0.991651628000392,0.992021963736225,0.991882237970885,0.991344338358039,0.992291612483755
