Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37,Var38,Var39,Var40
"R (growth rate per h)",0.0728548197570695,0.0573538133631082,0.0445219591858669,0.0277651363904842,0.0271188761152499,0.0729373713266912,0.168880562660573,0.0631157272161855,0.0154252957665219,0.0648627668455632,0.101510420075891,0.0658901595893823,111.101081850903,0.0968092333763617,0.162760433555656,0.164697288664686,0.1781233521501,0.172496803975378,0.168914052435702,0.396744458264608,0.313826601903078,0.3759353183959,0.386236362318432,0.374586340194826,0.354451611285687,0.583563247498739,0.563303573524846,0.573353379151768,0.592030575092842,1.26814960611701,1.23795000778208,1.19139899640357,1.19192154391073,1.23724529028555,1.92171991232258,2.04483775137502,2.10575579627105,1.86489700126985,1.90908622360376
"R algorithmic standard error estimate",0.00825414832404609,0.0424569397141488,0.0155649297795638,0.00950620543406077,0.0131945973298878,0.0211590300664946,0.0184004715779083,0.0185321381720161,0.041112510007779,0.0129764733929089,0.0149134699890062,0.00859988461150475,14.4039359123203,0.00872654416160216,0.193004885942919,0.0217736890300974,0.0212012059833099,0.0157465010275049,0.0148226567125788,0.00838033768111242,0.0369368611423671,0.00964659413162959,0.0112286833185958,0.0106750025992411,0.00918651250570415,0.0156954254015889,0.0148430036542502,0.0133803714498773,0.014353951331622,0.0229776972673502,0.0224892079010102,0.0226090433229901,0.0217058312135492,0.0224330022303593,0.0331807725492081,0.0356578390409332,0.0352684493928762,0.0335096745089578,0.0363157555898333
"K (population size OD600nm)",0.00227757663642754,0.00369810985803699,0.0046308628087214,0.00287896154778399,0.00495646217170914,0.00390666623893248,0.00252435641287726,0.00387643515240266,0.0129824255889148,0.00413705557067687,0.00605034713951956,0.00547690556955501,2788.05511750072,0.00499199065508557,0.00581969050187315,0.00906166606201568,0.00852829553717793,0.00829109559825248,0.00843235342623753,0.0120896112426554,0.0149002523288855,0.014981380242334,0.014451607426379,0.0138559294941198,0.0151288200292049,0.0258278283783757,0.025311647598294,0.0253012397870218,0.0253692439242876,0.0644629993965425,0.0647545730767033,0.0631498516251724,0.0625258673477621,0.0632357126804865,0.0942927332865165,0.0984001898405813,0.100199237136644,0.0937088567678105,0.0922979443539618
"K algorithmic standard error estimate",0.000139998936624943,0.00104708258900742,0.000611597715262949,0.000377304351552733,0.0012194740290731,0.000261826716639774,0.000183261185594928,0.000305895440486867,0.0189036269170397,0.000232037167536315,0.000205752135902924,0.00018581541021938,1.10124993560055e-08,9.52300781902513e-05,0.00123912304158914,0.000247157566798454,0.000188302482385532,0.000140713512672854,0.000140065191954107,0.00015615571248391,0.000303563519953149,0.000230024931296189,0.000254566636753204,0.000239910245527058,0.000229181310731664,0.000425739775266663,0.000406066080148937,0.000360520086503019,0.000376832595912231,0.000756132488459165,0.000754360424009228,0.000760430612615096,0.000728372419703113,0.000732063011416902,0.00105726003189235,0.00111940244939799,0.00109526778386481,0.00107812555393401,0.00113710365583493
"Yield (OD600nm per ug/mL malto3)",0.000911030654571016,0.0014792439432148,0.00185234512348856,0.0011515846191136,0.00198258486868366,0.000781333247786495,0.000504871282575452,0.000775287030480532,0.00259648511778296,0.000827411114135375,0.000605034713951956,0.000547690556955501,278.805511750072,0.000499199065508557,0.000581969050187315,0.000453083303100784,0.000426414776858896,0.000414554779912624,0.000421617671311877,0.000604480562132768,0.000372506308222138,0.00037453450605835,0.000361290185659476,0.000346398237352994,0.000378220500730122,0.000322847854729696,0.000316395594978674,0.000316265497337773,0.000317115549053595,0.000402893746228391,0.000404716081729396,0.000394686572657328,0.000390786670923513,0.000395223204253041,0.000377170933146066,0.000393600759362325,0.000400796948546575,0.000374835427071242,0.000369191777415847
"Yield algorithmic standard error estimate",5.59995746499772e-05,0.000418833035602966,0.00024463908610518,0.000150921740621093,0.000487789611629239,5.23653433279548e-05,3.66522371189856e-05,6.11790880973734e-05,0.00378072538340794,4.64074335072631e-05,2.05752135902924e-05,1.8581541021938e-05,1.10124993560055e-09,9.52300781902513e-06,0.000123912304158914,1.23578783399227e-05,9.4151241192766e-06,7.03567563364269e-06,7.00325959770534e-06,7.8077856241955e-06,7.58908799882872e-06,5.75062328240473e-06,6.3641659188301e-06,5.99775613817645e-06,5.72953276829161e-06,5.32174719083329e-06,5.07582600186172e-06,4.50650108128774e-06,4.71040744890288e-06,4.72582805286978e-06,4.71475265005768e-06,4.75269132884435e-06,4.55232762314445e-06,4.57539382135564e-06,4.22904012756942e-06,4.47760979759196e-06,4.38107113545922e-06,4.31250221573603e-06,4.5484146233397e-06
"Lag estimate 1 (h)",2.3642523762059,0.188466197496371,0.461057701161423,0.379584945062627,-2.14941481728547,2.23798736791822,4.3314785419062,1.66407337131226,-23.6616672994647,1.50962528298893,2.52379392862319,2.63985412568098,3188.27610792186,2.74023540064267,2.76013160287112,3.18791346923711,3.64043155922234,3.63507154509507,3.62013817834033,4.47417796892966,4.4325536607513,4.91996087792259,4.99524810917097,5.02015591229578,4.60593032314887,5.96286091078707,5.84257398088664,5.84677526685412,5.81865689662374,8.29419557916714,8.11272662595408,7.82844327706699,8.04426873555223,7.85912669828526,8.2292165055768,8.29172579216002,8.25150550942329,7.87000484473005,8.06691942227055
"Lag estimate 2 (h)",0.338028169014085,NaN,0.338028169014085,0.338028169014085,2.70422535211268,3.04225352112676,2.70422535211268,0.338028169014085,2.36619718309859,0.338028169014085,3.38028169014085,3.71830985915493,3.71830985915493,2.70422535211268,NaN,3.38028169014085,3.71830985915493,0.338028169014085,3.04225352112676,4.3943661971831,4.05633802816901,5.07042253521127,4.73239436619718,4.3943661971831,4.05633802816901,5.07042253521127,5.40845070422535,5.40845070422535,5.40845070422535,7.77464788732394,7.43661971830986,7.09859154929577,7.43661971830986,7.43661971830986,7.77464788732394,7.77464788732394,7.43661971830986,7.43661971830986,7.43661971830986
"malto3 concentration used for this datapoint (ug/mL)",2.5,2.5,2.5,2.5,2.5,5,5,5,5,5,10,10,10,10,10,20,20,20,20,20,40,40,40,40,40,80,80,80,80,160,160,160,160,160,250,250,250,250,250
"Rsquareds for goodness of fit in [0,1]",0.810141548249943,0.632465107392481,0.878449912595647,0.884932834571582,0.875209667641435,0.883778833760475,0.737493492442978,0.88515360736234,0.88537495855142,0.944327347148347,0.966795845108063,0.973117212368912,0.446527232883516,0.987479616738168,0.338363986467871,0.973205009291088,0.979397201388453,0.987756033553435,0.988505166289867,0.989091554248886,0.980668286893171,0.984592378383121,0.979779505204168,0.980439605339683,0.985094542935539,0.982009311437342,0.982969544383083,0.98651550810432,0.985368880770279,0.990622028737682,0.990754138656142,0.990140715834931,0.990757572581096,0.99088173871732,0.99142829119673,0.991177317957622,0.991850726678606,0.990994039217508,0.989678755929765
