Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37
"R (growth rate per h)",0.0187791291706802,0.124338853311724,2.93490177131145,0.0454356545573595,0.066479494537776,0.110593858098341,0.098394999689558,0.0951626930355853,0.0636701151519473,0.0663576787694992,0.0901175328777176,0.150262037060355,0.148128286974975,0.155100660488983,0.226865247489736,0.125933289970279,0.292575651101854,1.09895715431892,0.264659546350766,0.27993804505847,0.361350745918854,1.24266198034648,0.758810989530611,0.564622042305851,0.559369134294898,0.54900114427968,1.14775026941899,1.13360961402484,1.14685634988445,1.21239351001792,1.13839212331547,1.30836390923302,1.25419934056884,1.23001427088041,1.2334062931979,1.2562241226137
"R algorithmic standard error estimate",0.00823299072714249,0.0295520194319503,0.925535329890119,0.0128056251322572,0.018787452665722,0.0184253361916645,0.0111376381314189,0.0307131181003221,0.070800155916843,0.00622599164376065,0.0190539198678961,0.00658626632437352,0.00586012576192212,0.00657584101229551,0.0112329584159414,0.0043107674384501,0.00640843278123782,0.0748065982317686,0.00904316351986082,0.00593997588766331,0.0071744780044831,0.110817508792507,0.0171069585007569,0.00968885968124394,0.0122939462438762,0.0099493777304768,0.0153050161585627,0.0147594107705172,0.0145744776995286,0.0172778185291433,0.0157989849535534,0.0176583162640912,0.016381661134029,0.016242346427013,0.0159578310289287,0.0166873648979309
"K (population size OD600nm)",0.00048910434812521,0.00105464460999676,0.0201701700923843,0.000885042103405367,0.000835084421618542,0.00146122009344809,0.00211308396897338,0.00153031949929526,0.000762280624131967,0.00249473867570013,0.0145753440518518,0.00557361242318474,0.00554192467948178,0.00533493061760364,0.00637022366122715,0.00595497769878215,0.011838744524804,0.091616376250995,0.0107069099759494,0.0119156050368541,0.0120475774899425,0.117343579579587,0.0283469224678351,0.0239699573898022,0.0256368316579408,0.0247442345075008,0.063540209397262,0.0626841974386451,0.0624163240547886,0.0655746067999721,0.0650429146946189,0.0662101046365218,0.0648250752947377,0.0638477297724747,0.0646691401887583,0.0653630147198113
"K algorithmic standard error estimate",0.000163563229488231,0.000157581073130316,0.00440773999832019,0.000153314429261016,0.000155683412367175,0.000161550022394583,0.000169898494363287,0.000262511505876441,0.000325141843048444,0.000133700623487016,0.000952578234285444,0.000147672085097095,0.000132873445964607,0.000139563643182109,0.000209104002180221,0.000117582528315075,0.000162172569048952,0.00163642441311115,0.000230009798744509,0.00015692981372482,0.000155619013841709,0.00316219868017665,0.000425598067902579,0.00026650253667611,0.00035253318241936,0.000286917453651355,0.000577200314321097,0.000556483830791543,0.000544242548679495,0.000628278959119724,0.000611315188935298,0.000618769965992971,0.000575374805640059,0.000580857347277461,0.00057380003282394,0.000594871500418245
"Yield (OD600nm per ug/mL malto3)",0.000195641739250084,0.000421857843998703,0.00403403401847686,0.000177008420681073,0.000167016884323708,0.000292244018689618,0.000211308396897338,0.000153031949929526,7.62280624131967e-05,0.000249473867570013,0.00145753440518518,0.000278680621159237,0.000277096233974089,0.000266746530880182,0.000318511183061357,0.000297748884939107,0.000295968613120099,0.00229040940627488,0.000267672749398734,0.000297890125921351,0.000301189437248562,0.00146679474474484,0.000354336530847938,0.000299624467372528,0.00032046039572426,0.000309302931343759,0.000397126308732887,0.000391776233991532,0.000390102025342428,0.000409841292499826,0.000406518216841368,0.000264840418546087,0.000259300301178951,0.000255390919089899,0.000258676560755033,0.000261452058879245
"Yield algorithmic standard error estimate",6.54252917952926e-05,6.30324292521264e-05,0.000881547999664038,3.06628858522032e-05,3.1136682473435e-05,3.23100044789165e-05,1.69898494363287e-05,2.62511505876441e-05,3.25141843048444e-05,1.33700623487016e-05,9.52578234285444e-05,7.38360425485473e-06,6.64367229823037e-06,6.97818215910545e-06,1.04552001090111e-05,5.87912641575373e-06,4.05431422622379e-06,4.09106103277787e-05,5.75024496861272e-06,3.9232453431205e-06,3.89047534604271e-06,3.95274835022081e-05,5.31997584878223e-06,3.33128170845137e-06,4.406664780242e-06,3.58646817064194e-06,3.60750196450685e-06,3.47802394244715e-06,3.40151592924685e-06,3.92674349449827e-06,3.82071993084561e-06,2.47507986397188e-06,2.30149922256023e-06,2.32342938910984e-06,2.29520013129576e-06,2.37948600167298e-06
"Lag estimate 1 (h)",7.18382187729529,2.19710818558486,2.23269968923648,3.21047899647424,3.28261084383064,3.71616473089264,6.0450354795424,4.16695790715429,3.68038825681376,3.6920233437318,3.14748945174629,4.90470249960639,5.00058972959928,5.13268695063819,6.29375917249204,4.65599691941534,6.15609036358951,2.5707730498821,6.30827900568665,6.15465051456631,6.47851619303877,1.79953931201255,7.76932977819277,7.45955009398723,6.71406501821301,7.33312205579315,10.5521984758111,10.5810206152986,10.7425034233337,9.94497430823892,10.48316933013,10.7398490710212,10.120856409387,10.6680198164499,10.5409528616952,10.4656019298135
"Lag estimate 2 (h)",3.71830985915493,NaN,NaN,NaN,NaN,NaN,3.38028169014085,NaN,5.40845070422535,2.70422535211268,4.73239436619718,4.73239436619718,5.40845070422535,5.40845070422535,6.42253521126761,0.338028169014085,5.74647887323944,3.38028169014085,6.42253521126761,6.08450704225352,6.08450704225352,3.04225352112676,7.43661971830986,7.43661971830986,6.42253521126761,6.76056338028169,10.1408450704225,10.4788732394366,10.4788732394366,9.46478873239437,10.1408450704225,10.1408450704225,10.1408450704225,10.4788732394366,10.1408450704225,10.1408450704225
"malto3 concentration used for this datapoint (ug/mL)",2.5,2.5,5,5,5,5,10,10,10,10,10,20,20,20,20,20,40,40,40,40,40,80,80,80,80,80,160,160,160,160,160,250,250,250,250,250
"Rsquareds for goodness of fit in [0,1]",0.279268560958665,0.483522573061055,0.333439024940266,0.33832621230918,0.302510157164286,0.547353904005267,0.718558573537037,0.333537226958746,0.422885159581461,0.84344706850541,0.936577337659134,0.955455697148663,0.96317081925471,0.956329752266913,0.931917351866008,0.974927311336527,0.987476344794114,0.992579428468781,0.96970203927686,0.988413431145049,0.988805481742211,0.988415708645481,0.984790118365939,0.991614684875664,0.987303696906448,0.990892012127119,0.994350575284676,0.994603605490418,0.994795331703783,0.993707952458039,0.99395579363359,0.994020441836021,0.994595834825411,0.994331973575328,0.994605275104608,0.994324175863324
