Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33
"R (growth rate per h)",0.197644119476506,0.0575095367825233,0.0500525763866887,0.143947156703873,0.127148545623901,0.129338313690625,0.104864352787822,0.219407849077569,0.341051747777435,0.10945885984125,0.199730901968544,0.204424047766547,0.356156068934596,0.446678708129705,0.359796679134049,0.348757424581648,0.342056044911131,0.855310005905055,0.610680938249072,0.651029551276179,0.717128462679731,0.679832791841162,1.68947085231289,1.71370517160468,1.4709973447106,1.52827690910564,1.45480150228418,1.74916460742005,1.70587222148132,1.67312048462813,1.66147848902188,1.57682237905096
"R algorithmic standard error estimate",5.58305546837719,0.010379361775814,0.0133564576801677,0.0152981880141113,0.0499389346144251,0.00825212812192976,0.013537710844204,0.00841538024080189,0.0128836363538915,0.0355767070189795,0.00707757689318754,0.00577556681526236,0.0136397312053999,0.0198458980742717,0.0115147540692738,0.00821664624659449,0.00940036461819791,0.0182576398209836,0.0218618037645937,0.0282439939351268,0.0193316200093264,0.0139816049784879,0.0283151775763657,0.0337946973221457,0.0225079821117947,0.0342170945548103,0.0228096506013881,0.0271988764718384,0.0339557397846658,0.0271168306485242,0.0243263173237151,0.0236581658717402
"K (population size OD600nm)",0.0692358666822346,0.000784491783138531,0.000696121960170266,0.00415525753948957,0.00462435339940504,0.00335152112624325,0.00226360067991506,0.00728188694103454,0.0118250430486854,0.00256957280892794,0.00646269358403717,0.00808169143431908,0.0127786812338733,0.0122442125400664,0.0146620515306485,0.0134859365733008,0.0130997775637545,0.0278045270635174,0.032281282024992,0.0318766920415139,0.0272199832350996,0.0281854420952169,0.0699571816886159,0.0751834797474281,0.0698028737815231,0.0709813490916574,0.0696895983890176,0.0704471053202029,0.0723016504093281,0.0734577540627477,0.0707508668148557,0.0745454879023081
"K algorithmic standard error estimate",1.88891986110454,9.37074794824514e-05,0.000128654336032142,0.000273161392010334,0.000335736856950655,0.000132330343230394,0.000209707121472793,0.000170409562887159,0.000271611592543422,0.000596881498054045,0.000141839563417903,0.000138290217688711,0.000302523311169028,0.000351455830691863,0.000280129256571035,0.000197514603891138,0.000225583665127526,0.000384960186632318,0.00069107146913024,0.000851058160629736,0.000473892463952236,0.000370992826618199,0.000768858185069045,0.00096230788810391,0.000703859650584008,0.00104597470690988,0.000726202452773743,0.000718848663068762,0.000946637143956663,0.000784447160119744,0.000693447792059979,0.000738483726861134
"Yield (OD600nm per ug/mL malto3)",0.0276943466728938,0.000313796713255412,0.000139224392034053,0.000415525753948957,0.000462435339940504,0.000335152112624325,0.000226360067991506,0.000364094347051727,0.00059125215243427,0.000128478640446397,0.000323134679201858,0.000404084571715954,0.000319467030846831,0.000306105313501661,0.000366551288266213,0.000337148414332519,0.000327494439093862,0.000347556588293968,0.000403516025312399,0.000398458650518923,0.000340249790438745,0.000352318026190212,0.000437232385553849,0.000469896748421426,0.000436267961134519,0.000443633431822859,0.00043555998993136,0.000281788421280812,0.000289206601637312,0.000293831016250991,0.000283003467259423,0.000298181951609232
"Yield algorithmic standard error estimate",0.755567944441814,3.74829917929806e-05,2.57308672064284e-05,2.73161392010334e-05,3.35736856950655e-05,1.32330343230394e-05,2.09707121472793e-05,8.52047814435796e-06,1.35805796271711e-05,2.98440749027022e-05,7.09197817089515e-06,6.91451088443557e-06,7.5630827792257e-06,8.78639576729658e-06,7.00323141427589e-06,4.93786509727844e-06,5.63959162818815e-06,4.81200233290397e-06,8.638393364128e-06,1.06382270078717e-05,5.92365579940295e-06,4.63741033272748e-06,4.80536365668153e-06,6.01442430064944e-06,4.39912281615005e-06,6.53734191818678e-06,4.5387653298359e-06,2.87539465227505e-06,3.78654857582665e-06,3.13778864047898e-06,2.77379116823992e-06,2.95393490744453e-06
"Lag estimate 1 (h)",-25.587932624858,3.60399983022003,3.62107822067914,4.54905745939515,2.62104160110857,4.19169227032523,6.22450239642534,4.72386352008879,4.79943600727699,6.67413989278259,4.99588857599309,5.19302503053911,5.34268507396177,5.44630513756777,4.94660135908777,5.79580365094193,5.97609441895546,6.27486955547824,6.02037032354118,6.51366468457262,6.83646000302614,6.956337301436,7.74028648031508,7.67334190777198,8.57456821997176,8.42499886015915,8.92306304410169,7.63107971768043,7.95588903656962,8.18738945639285,8.59644330255865,8.62373840866388
"Lag estimate 2 (h)",3.04225352112676,NaN,NaN,7.09859154929577,2.36619718309859,5.40845070422535,5.40845070422535,5.74647887323944,6.08450704225352,2.02816901408451,6.08450704225352,5.74647887323944,5.74647887323944,5.07042253521127,6.08450704225352,6.42253521126761,6.08450704225352,6.42253521126761,6.42253521126761,6.76056338028169,6.42253521126761,7.09859154929577,7.77464788732394,7.43661971830986,8.11267605633803,8.45070422535211,8.7887323943662,7.77464788732394,7.43661971830986,7.77464788732394,8.7887323943662,8.11267605633803
"malto3 concentration used for this datapoint (ug/mL)",2.5,2.5,5,10,10,10,10,20,20,20,20,20,40,40,40,40,40,80,80,80,80,80,160,160,160,160,160,250,250,250,250,250
"Rsquareds for goodness of fit in [0,1]",0.554938395674168,0.513345047721285,0.336836238471269,0.777380518122477,0.820306633612194,0.906716160372254,0.687538859949533,0.964961297989547,0.966179385546709,0.229651104042821,0.968900711016016,0.980844962456369,0.963856394003183,0.947530646672202,0.976336188160676,0.985770122107186,0.980390411980453,0.987183840351115,0.969980720085302,0.953840687918556,0.979789008364725,0.988333092583555,0.991790678901198,0.988899864960497,0.993047971478176,0.985279075078946,0.992570975261757,0.99292081954337,0.988373956223984,0.992225081177207,0.993432178166157,0.993287333144825
