Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37
"R (growth rate per h)",4847.1237874277,0.433777664325774,0.0242640532914784,0.0699051684178719,0.727923919401843,0.0231104295518826,0.340246885469243,0.116105865604736,1.39007152047002,0.107554635987462,0.0328668485572888,0.190253540981498,0.164232096970342,0.147846927187889,0.153203218471428,0.121582983497183,0.239317969072124,0.206239547002129,0.239173506497781,0.171956171414316,0.244318260250109,0.535531568465766,0.445016987773643,0.612815312809536,0.460598697730519,0.393817412530272,0.875060674026372,0.852365465372528,0.811806561220284,0.812806721894361,0.835539356106738,1.25546754673485,1.23681708823711,1.23073673177351,1.24262634731313,1.23702674162033
"R algorithmic standard error estimate",191.486363069727,0.0141942386344134,0.018827240281424,0.0232756663591002,0.316391902910152,0.00428769657823007,0.131613794881844,0.016410645054875,90.4475677424712,0.0177000282433522,2.94349121009751,0.0244086398084163,0.00876092347507704,0.00915199723083355,0.0246803799652601,0.0192248665796931,0.0233432616898522,0.0291441198963051,0.00926710967989071,0.023421866669446,0.00826783428141798,0.0133872441058113,0.0122509931353996,0.0177447012245982,0.0107697885088943,0.0418536949610205,0.0183885836784436,0.0180657085786805,0.0159067463787256,0.0151924437389635,0.0159092703530421,0.0205186907474421,0.0208060199376621,0.0205587831374318,0.0203309823239553,0.0188214453441495
"K (population size OD600nm)",6142.56169881032,0.0238018684122402,0.00164305144077685,0.00216576033471437,0.0480448803321099,0.0012571889293762,0.022833804472677,0.00217165833710914,50.6788003751329,0.00365892727016359,1.21770837070145,0.00311178589237429,0.00551583031270482,0.00598861252894129,0.00697811188125135,0.00664587145485739,0.0128603584179818,0.0117888668684743,0.0107994602341699,0.0113219398334846,0.0111916900865691,0.0257618786948588,0.021351141480879,0.0275346760206909,0.0237211502965172,0.0214472207934113,0.0398899982671531,0.0399109175773344,0.040286161392467,0.0425355024049478,0.0412963429816392,0.0667352225288765,0.0656067229028872,0.065618154932964,0.0659786062325519,0.0641833908209738
"K algorithmic standard error estimate",1.01417600554499e-08,0.00046366055434109,0.000393973978752665,0.000135263465862085,0.0191042925866457,0.000179564369529098,0.00800959986367268,0.000215693220422667,1655.57291739867,0.00033511433708861,54.6978670055729,0.000286166791760621,0.000172380952913661,0.00020814693063708,0.000207371642860811,0.00023224140740033,0.000232210402406956,0.000326905271848544,0.000242598866381732,0.00032957588183127,0.000220690866265891,0.000388374602842219,0.000348327065730191,0.000486940885709388,0.000327757401202168,0.000393575527296778,0.00053267371563846,0.000529259587310411,0.000489612826386962,0.0004923435922387,0.000492454057168679,0.000688154625835218,0.000692514391196161,0.000689786576432803,0.000677653677279207,0.000621046775943194
"Yield (OD600nm per ug/mL malto3)",2457.02467952413,0.00952074736489609,0.000657220576310738,0.000433152066942875,0.00960897606642197,0.00025143778587524,0.0022833804472677,0.000217165833710914,5.06788003751329,0.000365892727016359,0.121770837070145,0.000155589294618714,0.000275791515635241,0.000299430626447064,0.000348905594062568,0.00033229357274287,0.000321508960449544,0.000294721671711858,0.000269986505854249,0.000283048495837116,0.000279792252164227,0.000322023483685736,0.000266889268510988,0.000344183450258637,0.000296514378706465,0.000268090259917642,0.000249312489169707,0.00024944323485834,0.000251788508702919,0.000265846890030923,0.000258102143635245,0.000266940890115506,0.000262426891611549,0.000262472619731856,0.000263914424930208,0.000256733563283895
"Yield algorithmic standard error estimate",4.05670402217997e-09,0.000185464221736436,0.000157589591501066,2.7052693172417e-05,0.00382085851732914,3.59128739058196e-05,0.000800959986367268,2.15693220422667e-05,165.557291739867,3.3511433708861e-05,5.46978670055729,1.43083395880311e-05,8.61904764568304e-06,1.0407346531854e-05,1.03685821430405e-05,1.16120703700165e-05,5.80526006017389e-06,8.17263179621359e-06,6.06497165954331e-06,8.23939704578175e-06,5.51727165664728e-06,4.85468253552774e-06,4.35408832162738e-06,6.08676107136735e-06,4.0969675150271e-06,4.91969409120973e-06,3.32921072274038e-06,3.30787242069007e-06,3.06008016491851e-06,3.07714745149187e-06,3.07783785730424e-06,2.75261850334087e-06,2.77005756478465e-06,2.75914630573121e-06,2.71061470911683e-06,2.48418710377278e-06
"Lag estimate 1 (h)",258.033066549366,6.05169165032962,1.11311978037413,2.08043050443522,21.0910896747719,15.4198380654124,20.8248524823944,5.27960847604813,2733.26346367688,2.94817837812749,736.602979287582,4.86180357641819,3.86830474550539,3.57343867151211,3.47412147124246,2.5984411848059,4.26339304757797,3.87525622118096,4.61405266674924,3.59982202850668,4.78598007435154,5.86260430246313,5.38370755096174,5.92902996075343,5.58889319760319,5.4641677472326,7.16872288520912,6.81075080003097,6.80782738502208,6.99813851316877,7.08510781288507,7.65687054314045,7.4711231930433,7.58754353257734,7.4894843277325,7.79954852590544
"Lag estimate 2 (h)",2.70422535211268,5.40845070422535,1.35211267605634,2.02816901408451,23.3239436619718,3.04225352112676,22.9859154929577,2.02816901408451,2.02816901408451,NaN,3.04225352112676,2.70422535211268,3.38028169014085,3.04225352112676,3.38028169014085,1.69014084507042,4.05633802816901,3.71830985915493,4.05633802816901,3.71830985915493,4.73239436619718,5.07042253521127,4.3943661971831,5.07042253521127,5.07042253521127,5.07042253521127,6.76056338028169,6.08450704225352,6.42253521126761,6.76056338028169,6.42253521126761,7.09859154929577,6.76056338028169,6.76056338028169,6.76056338028169,7.09859154929577
"malto3 concentration used for this datapoint (ug/mL)",2.5,2.5,2.5,5,5,5,10,10,10,10,10,20,20,20,20,20,40,40,40,40,40,80,80,80,80,80,160,160,160,160,160,250,250,250,250,250
"Rsquareds for goodness of fit in [0,1]",0.750289699013254,0.974995495407283,0.547697151328643,0.86541945521838,0.468328619917178,0.433688286384887,0.467201439870503,0.6220724634621,0.298868791492089,0.653151842793086,0.211918243946536,0.717569257611703,0.940214897754398,0.927906753435072,0.963303070291321,0.962081326044962,0.985769838350961,0.969573501240098,0.967805460231172,0.970479185073018,0.974923557037816,0.984924647988747,0.98251516300445,0.97935715424901,0.987351793978501,0.983761786574341,0.987970595159952,0.988169742991205,0.990041232530849,0.990938691233202,0.99038520407607,0.99275826864793,0.992423810880541,0.992479292596314,0.99282316236237,0.993613849417945
