Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37,Var38,Var39,Var40,Var41
"R (growth rate per h)",0.104624027559651,0.0216093601201163,0.00640596436290471,0.0415571259396966,0.0105386504893043,0.0423456760229488,0.0301247390237731,0.0266304617317911,0.0413289690483913,0.0876189962394815,0.0516361776756081,0.0555379595096387,0.05417431676653,0.0732239335716825,0.0306465214121442,0.225521388015492,0.143571216947517,0.243861958706903,0.493477743383344,0.203659993976173,0.306039082437967,0.271668182346648,0.294585704109619,0.291743425133835,0.289963419225236,0.478731138432448,0.486542199012782,0.443899124633954,0.458738920121272,0.483302327595111,0.888929564962719,0.9075323592615,0.889715934010213,0.893540338026516,0.842894334003007,1.3572467183906,1.33270188132901,1.38375010782452,1.35121722560952,1.34328458763904
"R algorithmic standard error estimate",0.0264434228967681,0.0205790688934456,0.284557163914076,0.0114498961338667,0.0221567080395631,0.110576288188009,0.0226280237229272,0.0151570544792269,0.0347463652753291,1.91345669946824,0.0174345195306095,0.020956780734716,0.022831924554392,0.0253701315650934,0.0117741320461751,0.013320810362658,0.030744526331391,0.0137403253040653,19.6910301742926,0.0190894461240888,0.0098235832652254,0.00820312132933905,0.00994750360746443,0.0112741753690982,0.00976781149941502,0.0119205422868758,0.0127468790889035,0.0115590983031116,0.0113394815016215,0.0127817486759198,0.0156687256991927,0.0196926608177305,0.0155294517431629,0.0165035603072989,0.0145527520969269,0.0216002670465281,0.0191922026377672,0.0228150169357496,0.0204196308269786,0.021084570530173
"K (population size OD600nm)",0.00104154171821265,0.00172311339580414,0.0993570599945467,0.000854879475042479,0.00290113949833078,0.0109583910840655,0.0029635216763165,0.00334546947829459,0.00210557820040661,0.0856294991092923,0.00481782826302637,0.004033347297854,0.00390485060867436,0.0043237633549633,0.00102146357970485,0.00608363344261161,0.00720015674732433,0.00601707007430045,13.6875449317078,0.00470058385693873,0.0116517226313366,0.0137384891135591,0.0119301208828523,0.0115378455438228,0.0117750715390826,0.0210593761850245,0.0193966707653468,0.0216522321146921,0.0210976075842773,0.020649771422292,0.0425573489956158,0.0396669512756163,0.043315711578615,0.042726390941108,0.0424712857848285,0.0694007200622541,0.0715388306561237,0.0677795993685542,0.0684382808425669,0.0669553447603399
"K algorithmic standard error estimate",0.000174436068453452,0.000561821724834803,2.24479676767223,0.000166983778537291,0.00353407081643195,0.0227366814140185,0.000830161133989222,0.00071762528886406,0.000412031579579987,1.69808091738789,0.000477909167694623,0.000394465280077514,0.000423226163203534,0.000326286709642845,0.00029543153047134,0.000229287955691375,0.000282714502401682,0.000219176749941272,274.103192000835,0.000282102238634275,0.00023109383481962,0.000242668039163544,0.000245194889608912,0.000269928029665813,0.000241911316231178,0.000329154706877055,0.000320126028518734,0.00034043283633653,0.000321248162152573,0.000344704569099726,0.000480976100773235,0.00055559921805404,0.000480254936945576,0.000506140202453989,0.00046478678219977,0.00071088052888573,0.000652442578561373,0.000720149624883283,0.000663598972436315,0.00067669893364616
"Yield (OD600nm per ug/mL malto3)",0.000416616687285062,0.000689245358321655,0.0397428239978187,0.000341951790016992,0.00116045579933231,0.00219167821681311,0.0005927043352633,0.000669093895658918,0.000421115640081321,0.0171258998218585,0.000481782826302636,0.0004033347297854,0.000390485060867436,0.00043237633549633,0.000102146357970485,0.000304181672130581,0.000360007837366216,0.000300853503715022,0.684377246585391,0.000235029192846936,0.000291293065783416,0.000343462227838977,0.000298253022071308,0.00028844613859557,0.000294376788477066,0.000263242202312806,0.000242458384566835,0.000270652901433651,0.000263720094803466,0.000258122142778651,0.000265983431222599,0.000247918445472602,0.000270723197366343,0.000267039943381925,0.000265445536155178,0.000277602880249016,0.000286155322624495,0.000271118397474217,0.000273753123370267,0.00026782137904136
"Yield algorithmic standard error estimate",6.9774427381381e-05,0.000224728689933921,0.89791870706889,6.67935114149165e-05,0.00141362832657278,0.0045473362828037,0.000166032226797844,0.000143525057772812,8.24063159159974e-05,0.339616183477579,4.77909167694623e-05,3.94465280077514e-05,4.23226163203534e-05,3.26286709642845e-05,2.9543153047134e-05,1.14643977845687e-05,1.41357251200841e-05,1.09588374970636e-05,13.7051596000417,1.41051119317137e-05,5.77734587049049e-06,6.0667009790886e-06,6.12987224022281e-06,6.74820074164532e-06,6.04778290577944e-06,4.11443383596318e-06,4.00157535648417e-06,4.25541045420663e-06,4.01560202690716e-06,4.30880711374658e-06,3.00610062983272e-06,3.47249511283775e-06,3.00159335590985e-06,3.16337626533743e-06,2.90491738874857e-06,2.84352211554292e-06,2.60977031424549e-06,2.88059849953313e-06,2.65439588974526e-06,2.70679573458464e-06
"Lag estimate 1 (h)",2.69658567837097,0.808498915741849,11.1678210506099,5.56240087586723,-5.73383199857593,-10.3466152262898,0.504931256537974,0.587046538206106,2.07525107413654,-63.3894428251741,1.98073228360628,2.27062051295092,2.30608100449671,2.97604367741966,9.09260672751848,5.0572560576731,4.00311957540304,5.05356709275581,1342.83818506737,4.57208797873828,5.5669053038982,5.25140683222281,5.41334140417792,5.18381268394171,5.47784665192853,6.62900440590297,6.30122355229405,5.95360694169489,6.2704081734118,6.66595365756347,7.68611243156351,7.47500391121156,7.46237088804847,7.69048651169063,7.55413022602257,8.12720206264524,7.82392243110674,7.96143120628644,7.9777568583543,8.01834405372154
"Lag estimate 2 (h)",3.71830985915493,2.02816901408451,1.69014084507042,0.338028169014085,3.38028169014085,2.36619718309859,2.02816901408451,3.04225352112676,3.38028169014085,2.70422535211268,3.04225352112676,3.38028169014085,2.70422535211268,3.38028169014085,4.3943661971831,3.71830985915493,3.38028169014085,3.71830985915493,5.74647887323944,5.07042253521127,5.40845070422535,4.73239436619718,5.07042253521127,5.40845070422535,5.07042253521127,6.08450704225352,6.42253521126761,4.73239436619718,6.08450704225352,5.74647887323944,7.09859154929577,7.09859154929577,7.09859154929577,7.09859154929577,7.09859154929577,7.43661971830986,7.43661971830986,7.43661971830986,7.43661971830986,7.43661971830986
"malto3 concentration used for this datapoint (ug/mL)",2.5,2.5,2.5,2.5,2.5,5,5,5,5,5,10,10,10,10,10,20,20,20,20,20,40,40,40,40,40,80,80,80,80,80,160,160,160,160,160,250,250,250,250,250
"Rsquareds for goodness of fit in [0,1]",0.349982664391736,0.466870728815427,0.231126954145041,0.30347105656183,0.437229982659986,0.702030693302301,0.606902317880683,0.728449218728489,0.477127843766959,0.83535852689823,0.853114110261117,0.816245964138953,0.780269805290131,0.838752672809505,0.247678240257696,0.913236652483048,0.936068919765583,0.91838140873702,0.399821219565929,0.806511507605602,0.974286361861514,0.979607451029445,0.972510372021471,0.964785644503597,0.9725057961676,0.983673889392308,0.981893957203345,0.983603233580057,0.984549172039408,0.981415071506018,0.991319161654346,0.986753890939415,0.991654213959005,0.990470885558318,0.991860239163498,0.992837470491117,0.994320152406492,0.992306662225138,0.993582243741365,0.99303070477428
