Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37,Var38
"R (growth rate per h)",0.0410203357699416,0.0524881353521856,0.0277519041496772,0.0365121528835274,0.0365477601225827,0.289846784521704,0.055668484580619,0.0895095980963073,0.0814286311912637,0.108256763408719,0.0984696397245276,0.102215626338454,0.178457818531532,0.164931012986822,0.122878926788794,0.156816649672527,0.160639741564592,0.268786467816208,0.303122377276319,0.313428681744006,0.309648463807075,0.33145906349492,0.487239350985007,0.519785612801165,0.49485988293745,0.51129735507332,0.496836048580472,0.974815146935791,0.973291861834707,0.949450098771183,0.986800233921966,0.986309362506172,2.19369753746802,2.18979033312437,2.1751615557458,2.16665662919575,2.13293739651828
"R algorithmic standard error estimate",0.0156968158231245,0.0221805393909927,0.0185164565271492,0.0180364968624349,0.0304810686218568,0.0686245759011588,0.0258648878059893,0.00592635510040393,0.016969028092554,0.0123811064500056,0.00498080725745474,0.00755908661467261,0.00968210378267073,0.00668174637015541,0.0171290989213384,0.0062280427256218,0.0197060282498019,0.00974734025371163,0.0101593953417635,0.0116052557056513,0.0077132634437843,0.0121149365188501,0.0102375819325367,0.0101842952989733,0.0110806836713655,0.0113933560175297,0.0115819359692816,0.0174975936803027,0.0185907669463525,0.0190034839327329,0.0184948556692169,0.0178028378731768,0.0345872891671996,0.0337924844832778,0.0339362782098982,0.0346325975817091,0.0339791289152105
"K (population size OD600nm)",0.00236632484140333,0.00231747578377729,0.00369864858299435,0.00258873812591416,0.00278654346792176,0.00233948975629482,0.00225664878832612,0.00372770666844614,0.00458331009450364,0.00270631259879929,0.00368484979821022,0.0039383608032833,0.00610070360988153,0.00714636508264846,0.00768248720871273,0.00701035827559729,0.00820059077377425,0.01332992700372,0.0137816577204581,0.0133486650745234,0.0148136810456979,0.014914311245263,0.0243152313684981,0.0238211391699022,0.0237120539083509,0.023800862508816,0.0239364079481789,0.0504585529518272,0.0499192819723212,0.0503822634486878,0.0497715363554799,0.0507468390778216,0.11362768560318,0.113260818579601,0.114329968746202,0.113668455524363,0.111917485015578
"K algorithmic standard error estimate",0.00020763928270007,0.000217425511984072,0.00124638922249042,0.000415077159177731,0.000640533262188083,0.000232346163856491,0.000226169076496058,0.00013738354504417,0.000198907192150933,0.000197490211832241,0.000103896319982804,0.000163142499248378,0.000203654513846828,0.000168391707167272,0.000222919246267755,0.000160865670995045,0.000189574653281775,0.000283665789551924,0.000276986034653173,0.000300399347247183,0.000217420545961107,0.000326744636201777,0.000314480221348948,0.000292134420545939,0.000328106261141622,0.000328030891337618,0.000345089445982964,0.000582148818293496,0.000610886836699515,0.000642052742071858,0.00059508471220434,0.000580513832384666,0.00119100808520966,0.00115634659784597,0.00117749217947927,0.00119383029145084,0.00117259220535813
"Yield (OD600nm per ug/mL malto3)",0.000946529936561333,0.000926990313510916,0.00147945943319774,0.00103549525036566,0.000557308693584351,0.000467897951258964,0.000451329757665223,0.000372770666844614,0.000458331009450364,0.000270631259879929,0.000368484979821022,0.00039383608032833,0.000305035180494076,0.000357318254132423,0.000384124360435636,0.000350517913779864,0.000410029538688712,0.000333248175093001,0.000344541443011452,0.000333716626863085,0.000370342026142448,0.000372857781131575,0.000303940392106226,0.000297764239623777,0.000296400673854386,0.0002975107813602,0.000299205099352236,0.00031536595594892,0.000311995512327008,0.000314889146554299,0.000311072102221749,0.000317167744236385,0.000454510742412718,0.000453043274318402,0.000457319874984807,0.00045467382209745,0.000447669940062312
"Yield algorithmic standard error estimate",8.3055713080028e-05,8.69702047936289e-05,0.000498555688996167,0.000166030863671092,0.000128106652437617,4.64692327712982e-05,4.52338152992115e-05,1.3738354504417e-05,1.98907192150933e-05,1.97490211832241e-05,1.03896319982804e-05,1.63142499248378e-05,1.01827256923414e-05,8.41958535836358e-06,1.11459623133877e-05,8.04328354975226e-06,9.47873266408875e-06,7.0916447387981e-06,6.92465086632932e-06,7.50998368117958e-06,5.43551364902768e-06,8.16861590504443e-06,3.93100276686185e-06,3.65168025682424e-06,4.10132826427028e-06,4.10038614172022e-06,4.31361807478705e-06,3.63843011433435e-06,3.81804272937197e-06,4.01282963794911e-06,3.71927945127713e-06,3.62821145240416e-06,4.76403234083865e-06,4.62538639138389e-06,4.70996871791708e-06,4.77532116580336e-06,4.69036882143251e-06
"Lag estimate 1 (h)",2.49403645399249,1.99368583886012,-1.49411440224339,0.93680357026803,1.96023986357898,2.46411638297088,1.95672665161195,3.48164115482906,3.19006275444787,4.77002090957076,3.21576311905126,3.38438025207023,5.03623561380213,4.54440535709555,3.64654947295491,4.49765352639119,3.77569034267171,5.25818312965854,5.48046431292161,5.57735102710011,5.22348434005246,5.4287634158265,6.60489433096417,6.72589173109914,6.5417796107497,6.44087135053601,6.5890183208979,8.13989732690937,7.98839748436711,7.94486829107063,7.76693695143964,7.64788183702389,9.31991532801639,9.13854533703836,9.13835714553903,8.96409056775883,8.99804457954821
"Lag estimate 2 (h)",3.38028169014085,2.36619718309859,1.35211267605634,1.35211267605634,0.338028169014085,0.338028169014085,1.35211267605634,3.71830985915493,3.71830985915493,6.08450704225352,2.70422535211268,4.3943661971831,4.73239436619718,3.71830985915493,2.02816901408451,5.40845070422535,3.71830985915493,3.71830985915493,3.71830985915493,3.71830985915493,4.3943661971831,4.73239436619718,5.74647887323944,6.08450704225352,5.74647887323944,5.74647887323944,6.08450704225352,7.43661971830986,7.09859154929577,6.76056338028169,7.43661971830986,7.09859154929577,8.45070422535211,8.45070422535211,8.45070422535211,8.11267605633803,8.11267605633803
"malto3 concentration used for this datapoint (ug/mL)",2.5,2.5,2.5,2.5,5,5,5,10,10,10,10,10,20,20,20,20,20,40,40,40,40,40,80,80,80,80,80,160,160,160,160,160,250,250,250,250,250
"Rsquareds for goodness of fit in [0,1]",0.811670576902146,0.786163853727293,0.777628977370124,0.757098958582948,0.484063652201486,0.625846723888357,0.754635221970804,0.919907110922022,0.935646635270135,0.737926718145139,0.951794741218602,0.901035443068291,0.930886241766475,0.964731972309244,0.969492018478675,0.966533316695493,0.977726031183881,0.970668299746097,0.973663353446352,0.967149250780167,0.985838905973848,0.968884123638886,0.988758716789742,0.989874249445044,0.987165663426662,0.987281321801535,0.986075565290493,0.990929601366398,0.989814751746391,0.988963727798064,0.99028617596866,0.991105652985544,0.992477206256972,0.992861461163167,0.992736341362241,0.992450586368591,0.992486376501465
