Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37
"R (growth rate per h)",0.0234933703238207,0.0130041686531003,1.22189981243821,0.0881489388414429,0.0375688699711473,0.0715793637272285,0.0927523028498504,0.132173361071792,15.8894281634931,0.0900871379054468,0.129701880259949,0.132654011324158,0.0933222915424831,0.169432622927856,0.137734872544178,0.0947844542067566,0.268479754401811,0.395259218862539,0.245559471364433,0.301679078782479,0.354011584797829,0.486115298270591,0.441894782180768,0.462062985811363,0.46595382448728,0.528547058708635,1.11297941589693,1.11510091540837,1.18303641077182,1.17367577755417,1.21496492582912,1.99991028042014,1.80539410658305,1.92953526756912,1.81691811349804,1.82507690576828
"R algorithmic standard error estimate",0.00725244208383607,0.00403002130961619,0.329771424143871,0.0244748754733718,0.019916872961369,0.0118097415002989,0.0398171411492264,0.0177289150107034,2.88863898825863,0.0253245753147247,0.00742460504285934,0.0298109444983992,0.0155821412138743,0.0118837194023092,0.025370927712608,0.0141430290339124,0.0092600676694051,0.0228535264157781,0.0117615233419152,0.00907047539253059,0.024510982579816,0.0103815577660245,0.00851921431120911,0.0115515360361288,0.0115757184938206,0.0116015504136318,0.0210227803304649,0.0169585052642896,0.0187073873908916,0.018437047290255,0.0184172356154243,0.032601632714428,0.0271889209668384,0.0288673575197349,0.0268695389913006,0.0255070675027892
"K (population size OD600nm)",0.000664981662152172,0.000799439651167039,0.00297832533537212,0.00103757571195798,0.0032289558052917,0.0024617188755912,0.00348041436909361,0.00326701559760547,544.8320127845,0.00445886123890836,0.00424204625892502,0.00597227813269132,0.010157780122048,0.00585950697423141,0.00826528527618752,0.00733971451192712,0.0111262623457151,0.0102696606598234,0.0120162175886325,0.0125833433137649,0.0121704213956788,0.0223446857595361,0.0231261995223726,0.0224125648105365,0.0233573057349469,0.0235274643719172,0.0599129815813571,0.0587104189724233,0.0609556021846105,0.0628577608706428,0.0625855430499808,0.0922708505378224,0.0917181360515275,0.0923929791421634,0.0927238457450825,0.0954886460785954
"K algorithmic standard error estimate",0.000149015356749592,0.000200307228300046,0.000608911505764005,0.0001626489022494,0.000584429455668081,0.000225357073751268,0.000268016883691268,0.000269300485023608,2.49575994958845e-08,0.000241147032612833,0.00014386474514464,0.000239701714979294,0.000440715452867518,0.00024604686801107,0.000324330011946246,0.000270363619115629,0.000233142655677092,0.000391081348194602,0.000335082266377034,0.000231392758864821,0.000522873935496994,0.000297522862219833,0.000272616442357694,0.000349361707147192,0.000355939156568711,0.000324169136365355,0.000743996583766561,0.00059451080001401,0.000643302939307857,0.000650172255840753,0.000629936264012753,0.0010178048943124,0.000922954658212253,0.000928969643729519,0.000912826091403703,0.000887150831240949
"Yield (OD600nm per ug/mL malto3)",0.000265992664860869,0.000319775860466816,0.00119133013414885,0.000207515142391596,0.000645791161058341,0.00049234377511824,0.000348041436909361,0.000326701559760547,54.48320127845,0.000445886123890836,0.000424204625892502,0.000298613906634566,0.0005078890061024,0.00029297534871157,0.000413264263809376,0.000366985725596356,0.000278156558642879,0.000256741516495586,0.000300405439715813,0.000314583582844124,0.00030426053489197,0.000279308571994201,0.000289077494029658,0.000280157060131706,0.000291966321686837,0.000294093304648965,0.000374456134883482,0.000366940118577646,0.000380972513653816,0.000392861005441518,0.00039115964406238,0.000369083402151289,0.00036687254420611,0.000369571916568654,0.00037089538298033,0.000381954584314382
"Yield algorithmic standard error estimate",5.96061426998366e-05,8.01228913200185e-05,0.000243564602305602,3.25297804498801e-05,0.000116885891133616,4.50714147502536e-05,2.68016883691268e-05,2.69300485023608e-05,2.49575994958845e-09,2.41147032612833e-05,1.4386474514464e-05,1.19850857489647e-05,2.20357726433759e-05,1.23023434005535e-05,1.62165005973123e-05,1.35181809557815e-05,5.8285663919273e-06,9.77703370486506e-06,8.37705665942586e-06,5.78481897162053e-06,1.30718483874249e-05,3.71903577774792e-06,3.40770552947118e-06,4.36702133933991e-06,4.44923945710888e-06,4.05211420456694e-06,4.649978648541e-06,3.71569250008756e-06,4.0206433706741e-06,4.06357659900471e-06,3.93710165007971e-06,4.07121957724962e-06,3.69181863284901e-06,3.71587857491808e-06,3.65130436561481e-06,3.5486033249638e-06
"Lag estimate 1 (h)",7.49831315505717,17.5028848993702,0.602436545217996,3.04428969717045,0.893553687924333,2.92204626273893,2.94872177283072,3.89213981773461,3721.45428103463,3.41829308113607,4.01660694095179,3.75641684265222,3.7114634790125,4.42654267619715,3.23366367068142,2.84992687969826,5.45733117298305,5.76901460390046,5.00774329322272,5.66113937118404,5.26793357256898,6.62192404555436,6.61686032163755,6.86412819610416,6.52115648368639,6.6822649947217,9.11008306527514,9.45743674244854,9.43562998455763,9.14039876498608,9.24857193127308,9.39328401722798,9.4094017996953,9.32606214289112,9.29483826099373,9.36741837608485
"Lag estimate 2 (h)",0.338028169014085,24,NaN,24,1.35211267605634,0.338028169014085,2.70422535211268,3.71830985915493,3.71830985915493,0.338028169014085,0.338028169014085,2.02816901408451,5.07042253521127,3.38028169014085,0.338028169014085,0.338028169014085,4.73239436619718,4.3943661971831,4.73239436619718,4.73239436619718,3.71830985915493,6.42253521126761,6.08450704225352,6.42253521126761,6.08450704225352,5.40845070422535,7.43661971830986,8.7887323943662,8.7887323943662,8.45070422535211,8.7887323943662,9.12676056338028,8.7887323943662,8.7887323943662,8.7887323943662,8.7887323943662
"malto3 concentration used for this datapoint (ug/mL)",2.5,2.5,2.5,5,5,5,10,10,10,10,10,20,20,20,20,20,40,40,40,40,40,80,80,80,80,80,160,160,160,160,160,250,250,250,250,250
"Rsquareds for goodness of fit in [0,1]",0.27353702751953,0.232556749110279,0.278166796247629,0.475260591227619,0.736398039298944,0.653671392360563,0.79479695250179,0.691436743812966,0.298785901473445,0.892912739667671,0.930065688913211,0.932281186775742,0.95406586669912,0.895927646360173,0.948305592265994,0.96473679557704,0.971440372665443,0.910834983019964,0.950882796911074,0.977796099356046,0.89015881637755,0.988097108355747,0.990638907769259,0.98371619008684,0.984475076175986,0.987259380315091,0.989474408287236,0.9929746107623,0.992373811806347,0.992673504364038,0.993059652825351,0.991676838074525,0.993061903038655,0.993074893050602,0.993358413329981,0.994079847412503
