Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34
"R (growth rate per h)",0.012552523655609,0.163687568848657,0.0478834008663804,0.0430984193395408,0.100503391286159,0.0347069308650676,0.205122377302559,0.0983892709156454,0.105837645309978,0.100368701331606,0.115600849249218,0.0736130057801568,0.0927370204857233,0.186832050629905,0.202778990856191,0.201132993863467,0.238478077487832,0.207452905757274,0.371193205057631,0.363589293987512,0.35067708028202,0.36553668272963,0.373822235367443,0.726183376285301,0.708134905900768,0.729387304800084,0.754891458547426,0.736816000453303,1.18259868460993,1.17242983716627,1.15511295053993,1.18767566182032,1.17564886714123
"R algorithmic standard error estimate",0.00683094330175444,0.0435584013083618,0.0413644317156045,0.0347702662116405,0.0137551731310367,0.0121684002390847,10.7545189782596,0.00480790831950183,0.0374088139537302,0.00535167293990928,0.00499484249348135,0.00838456463939066,0.0137010063322079,0.00590633952154413,0.00685074993384783,0.00475722456098121,0.00833935904617574,0.00485787462244812,0.00693702646519962,0.0071628815969744,0.00749193110442846,0.00648158118974917,0.00678476636860562,0.0194025418011667,0.011902077859929,0.0124670579099739,0.0133448024185257,0.0123288936918664,0.0194903843894531,0.018225879278059,0.0191082720933628,0.0177461256397849,0.0181746577034503
"K (population size OD600nm)",0.00165813976996658,0.00108635122588767,0.00147883884578985,0.00180457933769811,0.00318856343165466,0.00287886796524733,6.09203689752889,0.00291891580742211,0.00476853040267035,0.00457065111561085,0.00533684316209385,0.00586935716530217,0.00570307459520379,0.00960079143788216,0.0100894775916515,0.011906158541326,0.00992229996409562,0.0113048640324603,0.0206527011332605,0.0204779903363317,0.019982046412099,0.020739253291271,0.021140536253281,0.0375931692813815,0.0403437604373258,0.0412321344640228,0.0416309747565018,0.0416677386670714,0.0672772657018671,0.0670039845481353,0.0682893522008006,0.0698774333048812,0.0689710122339832
"K algorithmic standard error estimate",0.000220758330141901,0.000189317156175799,0.000247253779623389,0.000300275890471025,0.000261463874447711,0.000267040402015444,160.515911087683,8.66057522096508e-05,0.000312139653745769,0.000140596800055829,0.000135287837441914,0.000149779355980089,0.000163451535837913,0.000175066664382407,0.000202636321219957,0.000164494806548094,0.00021929494338186,0.000158335356176899,0.000237905781600619,0.000248389670922094,0.00026239568043026,0.000228139593867867,0.000239227629981795,0.000647592894701687,0.000437462417514062,0.000452528884342651,0.000475056323618136,0.000449708673262656,0.000709893340206192,0.000680125797539413,0.000731721739608953,0.000682564088930029,0.000697387910940072
"Yield (OD600nm per ug/mL malto3)",0.000663255907986633,0.000217270245177535,0.000295767769157971,0.000180457933769811,0.000318856343165466,0.000287886796524733,0.609203689752889,0.000291891580742211,0.000238426520133517,0.000228532555780542,0.000266842158104692,0.000293467858265109,0.00028515372976019,0.000240019785947054,0.000252236939791287,0.00029765396353315,0.000248057499102391,0.000282621600811508,0.000258158764165756,0.000255974879204147,0.000249775580151238,0.000259240666140887,0.000264256703166012,0.000234957308008635,0.000252148502733286,0.000257700840400143,0.000260193592228136,0.000260423366669196,0.000269109062807468,0.000268015938192541,0.000273157408803202,0.000279509733219525,0.000275884048935933
"Yield algorithmic standard error estimate",8.83033320567604e-05,3.78634312351597e-05,4.94507559246779e-05,3.00275890471025e-05,2.61463874447711e-05,2.67040402015444e-05,16.0515911087683,8.66057522096508e-06,1.56069826872884e-05,7.02984000279145e-06,6.76439187209572e-06,7.48896779900445e-06,8.17257679189567e-06,4.37666660956018e-06,5.06590803049893e-06,4.11237016370235e-06,5.48237358454649e-06,3.95838390442248e-06,2.97382227000774e-06,3.10487088652617e-06,3.27994600537826e-06,2.85174492334834e-06,2.99034537477243e-06,4.04745559188555e-06,2.73414010946289e-06,2.82830552714157e-06,2.96910202261335e-06,2.8106792078916e-06,2.83957336082477e-06,2.72050319015765e-06,2.92688695843581e-06,2.73025635572012e-06,2.78955164376029e-06
"Lag estimate 1 (h)",8.88666467309571,1.74605614298534,1.91077844581561,2.28179708104632,4.16082467600121,2.48907258587267,1545.59936640095,4.22497445240198,3.37958527359858,4.52613914821178,4.98039711056757,3.9976422386233,4.43011022808402,4.95720661078591,5.61091220675135,5.84003758667067,6.58658460254974,6.15385441531136,7.13338232166243,7.15449761354238,7.15564463891112,7.42373189891764,7.56630362644068,8.24472416305333,8.7288249686501,8.53018087877323,8.59087462105615,8.68578900496929,8.46230074076326,9.16151474299569,9.04539059336258,9.34411233443747,9.34790963140723
"Lag estimate 2 (h)",11.4929577464789,NaN,2.36619718309859,2.70422535211268,6.08450704225352,4.05633802816901,5.07042253521127,4.73239436619718,3.04225352112676,4.73239436619718,4.3943661971831,4.05633802816901,5.07042253521127,4.73239436619718,5.07042253521127,5.40845070422535,5.07042253521127,5.74647887323944,6.76056338028169,6.42253521126761,6.08450704225352,7.09859154929577,7.09859154929577,6.42253521126761,8.11267605633803,8.11267605633803,8.11267605633803,8.11267605633803,7.77464788732394,8.45070422535211,8.11267605633803,8.7887323943662,8.7887323943662
"malto3 concentration used for this datapoint (ug/mL)",2.5,5,5,10,10,10,10,10,20,20,20,20,20,40,40,40,40,40,80,80,80,80,80,160,160,160,160,160,250,250,250,250,250
"Rsquareds for goodness of fit in [0,1]",0.640186065635507,0.330926306728406,0.484999074326585,0.505795095941087,0.693778455232662,0.835345837861605,0.30662018415363,0.945228368377826,0.845129176258195,0.94139578960565,0.959080694687535,0.978296289743578,0.966409151937383,0.978408899811533,0.973643205493182,0.98728899673743,0.967897663355861,0.986900136776302,0.991008704117397,0.990037498507421,0.988341756972974,0.991774172206596,0.991291422228598,0.979991995766171,0.991957751599879,0.991767236093032,0.991105908637244,0.992033191221979,0.992386684055939,0.992941291725554,0.992140842324653,0.993459564030493,0.992995016947682
